model_id,valid_trials,mean_net_energy_per_inference_j,std_net_energy_per_inference_j,cv_percent,mean_average_latency_ms,mean_throughput_inferences_per_sec,depth,pattern,growth_pattern,channels,pools,parameter_count
0001,3,0.01710337803725,0.0007237104538953,4.231388982451955,1.2274332186666663,814.7103565666666,3,inverse_hourglass,late,66-197-66,1-3,236817
0002,3,0.005262527226963,0.0002577502280161,4.897841225325171,0.412115778,2426.504756,2,decreasing,late,129-26,1,34094
0003,3,0.0028505521154354,7.763102709729589e-05,2.723368103916875,0.236056384,4236.416246666667,3,increasing,late,12-67-232,1-2,150097
0004,3,0.0110708722754785,0.0003751781804138,3.388876423449092,0.8987092736666666,1112.7167756666663,2,decreasing,early,240-85,1,191265
0005,3,0.065585101872519,0.0002596874937649,0.3959550055586172,4.891702368333333,204.43124826666667,4,hourglass,late,160-78-78-160,,285802
0006,3,0.0238733589370154,0.0008541462676244,3.5778219138659666,1.7816946413333334,561.2818838333334,4,increasing,early,55-152-192-223,1-3-4,727587
0007,3,0.0179994964998784,0.000812359119267,4.513232463322007,1.2721835126666667,786.0549898333334,3,decreasing,late,121-45-18,2,59936
0008,3,0.0124008823559509,0.0001096453774128,0.8841739987978189,0.9071978313333332,1102.300594,6,increasing,linear,55-101-125-153-220-239,1-2-4,1116683
0009,3,0.0229500595410083,0.0022540944496728,9.82173682663045,1.7623277816666667,567.4370050333333,6,hourglass,early,206-164-18-18-163-206,1-2-3-4-5,670555
0010,3,0.0072518343018133,0.0002051196170832,2.8285204618092936,0.5781657423333333,1729.6548386666668,2,increasing,linear,51-245,1,116588
0011,3,0.0014857342268949,2.2809343275393457e-05,1.535223653227863,0.121484869,8231.499533333334,6,uniform,linear,21-21-21-21-21-21,1-2-5,20758
0012,3,0.0606554149906456,0.0028653425093095,4.723968189404731,4.467616269,223.8336796,4,decreasing,early,101-97-91-77,,234552
0013,3,0.0062759284846389,0.0002830919143333,4.510757492317754,0.4861633746666666,2056.928816333333,4,uniform,early,71-71-71-71,1-2-4,139028
0014,3,0.0016926240088799,3.5405060237098096e-05,2.091726222206096,0.1442993236666666,6930.049192,2,uniform,late,40-40,1,15970
0015,3,0.0168271504127387,0.0002935918307182,1.744750736262727,1.2357408096666669,809.234139,5,increasing,early,37-86-106-122-135,2-3-4-5,378145
0016,3,0.0475930682275806,0.0007444115232517,1.5641175300825454,3.448114320333333,290.01560133333334,3,decreasing,late,167-103-82,2-3,236514
0017,3,0.01868880569235,0.0009231652709073,4.939669693741946,1.3640683176666666,733.1043455666667,5,increasing,early,83-166-209-223-250,1-2-3-4-5,1363143
0018,3,0.0320988563494843,0.000520647419751,1.6220123673016469,2.202213723,454.08973943333336,3,inverse_hourglass,early,21-250-21,,95579
0019,3,0.0234376073050102,0.0001793367234059,0.7651665166674765,1.6630005516666666,601.3292668333333,2,decreasing,late,181-40,2,70678
0020,3,0.0151591575480639,0.000707380879363,4.666360100290621,1.1200177116666667,892.8487784333333,4,uniform,early,42-42-42-42,4,49360
